acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"0,00","0,00","0,28","0,00","0,00","17,2","19,4","71,6","0,00",78,"0,00","0,00","2,19","0,70","0,14","0,26","0,25","Cacau, in natura","24,6","0,95",NA,"0,59","12,1","0,00","79,2",NA,"0,15",tr,tr,"0,04",NA,NA,"9,34"
"0,00","8,07","5,80","4,57","0,44","20,9","57,9",1524,"0,00",359,"0,00","0,00","37,0","21,0","13,7","13,9","0,08","Cacau, em po, s/ acucar",499,"19,6","0,10","6,81",128,"0,00","3,00","14,3","3,79","2,19","0,24","0,12","0,00","0,00",734
"41,2","3,80","2,13","2,04","1,36","12,6","13,9",211,"0,00",195,"0,55","0,18","1,38",387,"8,41","1,13","0,17","Burrito de frango, c/ tortilha de farinha de trigo","17,7","16,5","0,29","1,13",194,"0,08","59,0","9,20","0,06","8,45","0,11","0,02",121,"70,6",235
"41,2","3,19","1,76","1,78","1,14","10,7","12,8",226,"0,00",175,"0,55","0,18","2,07",216,"7,14","0,54","0,07","Burrito de frango, c/ tortilha de farinha de milho","30,1","15,8","0,36","1,32",178,"0,08","62,5","5,20","0,07","7,73","0,06","0,06",121,"70,6",262
"0,00","4,16","0,98","14,4","0,40","7,41","22,4",218,"0,00",207,NA,NA,"15,0","7,00","15,4","1,11","0,00","Buriti, polpa, sem casca, in natura","31,0","2,19","19,6","0,77",132,NA,"59,0","30,0","0,11","8,43","0,05","0,07",2408,1204,"4,00"
"0,00","0,60","2,03","3,54","1,50","36,2","38,8",134,"0,00",238,"0,00","0,00","2,62",643,"6,65","2,37","0,36","Bruschetta, c/ tomate, c/ sal","22,8","6,90","0,49","0,69","62,9","0,00","45,6","20,4","0,16","3,39","0,22","0,06","10,4","9,38","85,6"
"11,9","2,57","2,17","3,61","1,32","31,9","34,2",121,"0,00",251,"0,37","0,13","2,26",662,"9,06","2,09","0,32","Bruschetta, c/ mucarela de bufala, c/ sal","23,2","9,40","0,42","1,12","93,9","0,06","45,2","19,9","0,15","2,92","0,22","0,05","28,4","24,9",143
"0,00","2,82","1,95","5,28","12,5","49,6","54,4",449,"0,00",203,"0,00","0,22","4,80",232,"20,8","5,43","0,04","Brownie, vegano","91,7","3,90","0,03","1,05","98,3","0,00","18,9","3,55","0,44","0,33","0,02","0,03","0,00","0,00",157
"0,00","0,60","1,57","3,54","1,50","36,2","38,8",135,"0,00",238,"0,00","0,00","2,63",456,"6,65","2,38","0,37","Bruschetta, c/ tomate, s/ sal","23,1","6,91","0,49","0,69","63,8","0,00","46,0","20,4","0,16","3,39","0,23","0,06","15,0","11,7","85,8"
126,"16,7","0,79","8,21","0,87","41,6","43,1",184,"0,00",468,"0,23","0,75","1,49","31,4","30,9","2,17","0,09","Brownie, caseiro","37,7","4,54","0,86","0,72","31,5","0,36","20,7","3,60","0,24","0,34","0,07","0,00",282,279,103
