acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"3,18","1,04","1,70","0,00","7,16","1,81","5,84","0,12","0,00",76,"41,5","0,17","4,03","18,5","6,21","17,0",tr,"Abacate, polpa, in natura",174,"1,15","0,04","0,20",tr,tr,"86,3","3,11","6,21","0,00",tr,"7,32","0,00","0,02","0,23"
"0,03","0,10","0,02","0,00","22,4","10,6","12,0","0,11","0,00",51,"6,77","0,51","1,38","10,8","0,34","16,8","0,01","Abacaxi, polpa, grelhado, c/ canela",125,"0,70","0,02","0,42","2,88","0,13","86,6","0,92","1,69","0,00","0,00","33,0","0,00","0,06","0,16"
"0,18","0,57","0,13","0,00",102,"58,6","64,9","0,69","0,00",279,"63,1","2,64","6,24","58,7","1,86","92,8",tr,"Abacaxi, polpa, desidratada",767,"3,80","0,11","2,26","15,9","0,92","27,5","5,58","11,2","0,00",tr,184,"0,00","0,26","0,86"
"0,03","0,10","0,02","0,00","18,4","10,5","11,6","0,12","0,00",50,"11,3","0,47","1,12","10,5","0,33","16,6",tr,"Abacaxi, polpa, in natura",137,"0,68","0,02","0,41","2,84","0,17","87,0","1,00","2,00","0,00",tr,"33,1","0,00","0,05","0,15"
"0,08","0,05","0,12","0,00","18,0","6,19","8,36","0,06","0,00",41,"21,9","0,37","2,17","25,8","0,54","8,82",tr,"Abobora, cabotian (japonesa), s/ casca, s/sementes, crua",350,"1,75",tr,"1,10",tr,tr,"88,5",254,508,"0,00","0,10","5,09","0,00","5,72","0,32"
"0,38","0,83","0,25","0,01","45,9","5,43","8,22","0,10","0,00",48,"27,5","0,37","2,79","37,2","1,61","15,8","0,02","Abobora, cabotian (japonesa), c/ quiabo, refogado (c/ oleo, cebola e alho), c/ salsa, c/ sal",170,"1,51","0,00","0,68",188,"0,06","87,6",156,313,"0,00","0,06","5,97","0,00","4,08","0,34"
"0,20","0,20","0,10","0,00","7,63","8,30","10,8","0,06","0,00",50,"8,94","0,35","2,46","32,6","0,73","9,11",tr,"Abobora, cabotian (japonesa), s/ casca, cozida, drenada, s/ oleo, s/ sal",199,"1,44",tr,"1,17","1,45","0,08","86,4",308,617,"0,00","0,07","7,46","0,00","8,34","0,29"
"0,10","0,10","0,30","0,00","5,78","13,2","14,9","0,09","0,00",66,NA,"0,16","1,70","20,3","0,70","9,30",tr,"Abiu, in natura",128,"0,83","0,04",NA,tr,tr,"83,1",NA,NA,"0,00","0,05","10,3","0,00",NA,"0,10"
"0,01","0,04","0,01","0,00","13,5","7,47","7,80","0,04","0,00",33,"11,2","0,36","0,33","7,63","0,11","10,1",tr,"Abacaxi, polpa, congelada",106,"0,47",tr,"0,06","1,24","0,05","91,3","1,13","2,26","0,00",tr,"1,25","0,00","0,02","0,06"
"0,02","0,08","0,02","0,00","24,6","32,5","33,3","0,10","0,00",136,"4,23","0,90","0,84","11,1","0,26","19,3",tr,"Abacaxi, cozido, caramelado",137,"0,60","0,02","0,30","5,24","0,10","65,5","0,00","0,00","0,00",tr,"17,4","0,00","0,04","0,16"
"0,02","0,01","0,03","0,00","3,16","1,57","3,99","0,05","0,00",17,"5,61",tr,"2,42","7,76","0,14","1,21",tr,"Abobora, moranga, s/ casca, s/ semente, cozida, drenada, s/ oleo, s/ sal","68,1","1,22",tr,"1,08",tr,tr,"94,1",171,343,"0,00","0,04","6,83","0,00","1,50","0,06"
"0,02","0,01","0,03","0,00","3,22","1,57","3,98","0,05","0,00",17,"5,59",tr,"2,41","7,74","0,14","1,21",tr,"Abobora, moranga, s/ casca, s/ semente, cozida, drenada, s/ oleo, c/ sal","67,9","1,21",tr,"1,08",127,tr,"93,8",171,342,"0,00","0,04","6,81","0,00","1,50","0,06"
"0,58","1,45","0,39","0,00","3,08","1,53","3,90","0,06","0,00",38,"5,47",tr,"2,36","7,58","2,53","1,18",tr,"Abobora, moranga, s/ casca, s/ semente, cozida, drenada, c/ oleo de soja, s/ sal","66,4","1,19",tr,"1,05",tr,"0,00","91,9",167,335,"0,00","0,04","6,67","0,00","1,76","0,06"
"0,58","1,44","0,39","0,01","3,15","1,53","3,89","0,06","0,00",38,"5,45",tr,"2,36","7,55","2,52","1,18",tr,"Abobora, moranga, s/ casca, s/ semente, cozida, drenada, c/ oleo de soja, c/ sal","66,2","1,18",tr,"1,05",127,"0,00","91,6",167,334,"0,00","0,04","6,65","0,00","1,75","0,06"
"0,03","0,02","0,05","0,00","4,94","2,34","5,93","0,08","0,00",26,"11,7",tr,"3,60","12,8","0,21","2,99",tr,"Abobora, moranga, s/ casca, s/ semente, assada, s/ oleo, s/ sal",202,"1,81",tr,"1,78",tr,tr,"91,3",257,515,"0,00","0,09","12,5","0,00","2,23","0,11"
"0,36","0,60","0,28","0,00","54,4","20,5","25,0","0,03","14,6",189,"3,65","4,17","4,51",233,"0,77","15,0","0,34","Almondega de soja, assada, s/ sal","57,6","22,8","0,03","2,84",242,"0,02","48,0","24,0","42,4","0,04","0,04","0,62","0,07","0,10","1,27"
"0,36","0,60","0,28","0,00","54,5","20,5","25,0","0,03","14,6",189,"3,59","4,17","4,50",233,"0,77","15,0","0,34","Almondega de soja, assada, c/ sal","56,7","22,8","0,03","2,84",422,"0,02","48,1","24,0","42,4","0,04","0,04","0,61","0,07","0,10","1,27"
"0,62","1,35","0,44","0,00","41,6","15,6","19,5","0,06","10,2",155,"7,48","3,06","3,92",174,"2,11","15,3","0,24","Almondega de soja, assada, c/ molho de tomate, c/ sal",132,"16,5","0,03","2,09",291,"0,05","59,0","37,3","70,7","0,03","0,05","6,53","0,05","0,42","0,96"
"1,63","3,86","1,19","0,06","77,1","1,08","6,15","0,07","0,00",86,NA,"1,89","5,07","37,5","7,20","21,0","4,90","Almeirao, refogado (c/ oleo, cebola e alho), s/ sal",383,"1,68","0,07",NA,"17,7","0,04","83,6",NA,NA,"0,00","0,06","1,79","0,00",NA,"0,23"
"1,63","3,86","1,19","0,06","77,2","1,08","6,15","0,07","0,00",86,-,"1,89","5,07","37,5","7,20","21,0","4,90","Almeirao, refogado (c/ oleo, cebola e alho), c/ sal",383,"1,68","0,07",-,145,"0,04","83,6",308,616,-,"0,06","1,79","0,00",-,"0,23"
"0,01","0,13","0,07","0,00","30,4","1,08","4,12","0,12","0,00",20,110,"0,87","3,04","46,6","0,29","16,7","0,74","Almeirao, cru",433,"1,78","0,21","1,30","2,76","0,13","92,6",288,577,"0,00",tr,"1,98","0,00","2,18","0,34"
"0,01","0,13","0,07","0,00","29,8","1,11","4,24","0,11","0,00",21,"56,7","0,67","3,13","43,2","0,30","10,3","0,49","Almeirao, cozido, drenado, s/ oleo, s/ sal",223,"1,84","0,14","1,21","2,13","0,09","92,4",267,535,"0,00",tr,"0,82","0,00","2,25","0,26"
"0,01","0,13","0,07","0,00","29,9","0,79","3,92","0,11","0,00",19,"56,7","0,67","3,13","43,2","0,30","10,3","0,49","Almeirao, cozido, drenado, s/ oleo, c/ sal",223,"1,84","0,14","1,21",129,"0,09","92,4",267,535,"0,00",tr,"0,82","0,00","2,25","0,26"
tr,"0,08","0,02","0,00","33,6","4,37","6,88","0,29","0,00",29,"34,1","0,64","2,51","36,5","0,14","10,7","0,34","Alho-poro, cru",224,"1,41",tr,"0,53","1,76","0,06","91,0","8,08","16,2","0,00","0,08","14,1","0,00","0,43","0,24"
"0,00","0,11","0,03",NA,"30,0","6,62","7,62","0,06","0,00",34,"24,0","1,10","1,00","17,0","0,20","14,0","0,20","Alho-poro, cozido, drenado, s/ oleo, s/ sal","87,0","0,81","0,02","0,50","10,00","0,03","90,8","41,0",NA,"0,00","0,11","4,20","0,00","0,50","0,06"
"6,76","17,5","4,46","0,00","19,5","32,0","36,6","0,30","0,00",433,"2,37","1,17","4,54",214,"29,3","30,6",tr,"Alho, refogado (c/ oleo de soja), s/ sal",768,"8,09",tr,"3,18","7,70","0,24","24,2","0,00","0,00","0,00","0,57","29,9","0,00","4,91","1,18"
"0,12","0,18","0,25","0,00","79,0","63,7","72,7","0,53","0,00",346,"47,0","5,65","9,00",414,"0,73","77,0","0,80","Alho, em po",1193,"16,6","0,14","23,9","60,0","0,44","6,45","0,00","0,00","0,00","1,65","1,20","0,00","0,67","2,99"
"0,73","1,60","0,51","0,01","7,09","11,9","13,7","0,07","7,71",102,"8,11","0,24","1,75","74,8","3,00","19,0","0,00","Arroz com peixe, c/ arroz integral, c/ sal",156,"6,05","0,01","7,53",287,"0,07","76,0","14,6","27,9","0,21","0,06","21,5","0,00","0,77","0,28"
"1,85","7,95","1,29","0,01","21,2","24,7","26,9","0,24","0,00",222,"8,63","0,59","2,24","81,1","11,4","42,7","0,16","Arroz com nozes, c/ arroz polido, s/ sal",120,"4,18","0,00","2,51","2,06","0,06","56,9","0,00","0,00","0,00","0,04","0,81","0,00","0,31","0,74"
"1,85","7,95","1,29","0,01","21,2","24,5","26,8","0,24","0,00",222,"8,62","0,59","2,24","81,0","11,4","42,6","0,16","Arroz com nozes, c/ arroz polido, c/ sal",120,"4,17","0,00","2,51","2,05","0,06","57,1","0,00","0,00","0,00","0,04","0,81","0,00","0,30","0,74"
"2,07","8,11","1,37","0,01","18,8","19,0","22,0","0,13","0,00",205,"10,1","0,42","2,95","97,3","11,7","41,7","0,16","Arroz com nozes, c/ arroz integral, s/ sal",129,"4,23","0,00","1,84","1,22","0,12","61,4","0,00","0,00","0,00","0,10","0,81","0,00","0,43","0,54"
"2,07","8,11","1,37","0,01","18,8","18,9","21,9","0,13","0,00",204,"10,1","0,42","2,94","97,1","11,7","41,6","0,16","Arroz com nozes, c/ arroz integral, c/ sal",129,"4,22","0,00","1,83","1,22","0,12","62,4","0,00","0,00","0,00","0,09","0,81","0,00","0,43","0,54"
"0,62","1,42","0,48","0,01","15,2","12,9","14,0","0,96","5,96",104,"19,1","13,0","1,12","63,5","2,78","19,2","0,52","Arroz com mexilhao (marisco lambe-lambe), c/ arroz polido, s/ sal",135,"6,26","0,07","0,75",113,"0,07","76,0","24,5","24,8","3,59","0,05","13,1","0,00","0,44","1,19"
"0,62","1,42","0,48","0,01","14,3","12,8","13,9","0,96","5,96",103,"18,5","13,0","1,10","63,2","2,78","19,1","0,51","Arroz com mexilhao (marisco lambe-lambe), c/ arroz polido, c/ sal",131,"6,24","0,07","0,74",300,"0,07","75,6","23,2","22,2","3,59","0,05","12,9","0,00","0,44","1,19"
"1,50","1,32","2,76","0,15","6,39","25,2","26,4","0,11","10,6",170,"22,5","0,29","1,17","28,4","6,23","15,1","0,38","Arroz com macarrao (aletria, cabelo de anjo),  c/ arroz polido, c/ sal","43,5","2,68","0,00","1,60",189,"0,02","63,9","46,5","47,2","0,01","0,02","0,72","0,00","0,30","0,43"
"2,40","2,17","1,90","0,02","7,65","18,1","19,4","0,13","16,3",167,"4,99","0,49","1,29","64,8","7,34","21,2","1,32","Arroz com linguica, c/ arroz polido, s/ sal",165,"6,50","0,02","1,07",352,"0,10","65,5","10,2","20,5","0,19","0,03","3,77","0,23","0,59","1,06"
"2,39","2,16","1,89","0,02","7,61","18,0","19,3","0,13","16,3",166,"4,97","0,49","1,28","64,5","7,30","21,1","1,31","Arroz com linguica, c/ arroz polido, c/ sal",165,"6,47","0,02","1,06",351,"0,10","65,6","10,2","20,4","0,19","0,03","3,76","0,22","0,59","1,05"
"2,57","2,29","1,97","0,02","5,85","13,9","15,7","0,05","16,3",154,"6,08","0,36","1,81","76,9","7,60","20,5","1,32","Arroz com linguica, c/ arroz integral, s/ sal",172,"6,53","0,02","0,56",352,"0,15","68,8","10,2","20,5","0,19","0,07","3,77","0,23","0,68","0,91"
"2,56","2,28","1,96","0,02","5,83","13,8","15,6","0,05","16,3",153,"6,05","0,36","1,80","76,6","7,56","20,4","1,31","Arroz com linguica, c/ arroz integral, c/ sal",171,"6,50","0,02","0,56",350,"0,14","69,0","10,2","20,4","0,19","0,07","3,76","0,22","0,68","0,91"
"1,80","1,76","1,36","0,01","9,45","18,1","20,3","0,14","6,97",145,"33,6","0,68","2,24","54,9","5,26","21,2","0,42","Arroz com lentilha, c/ arroz polido, s/ sal",139,"5,24","0,03","0,93",163,"0,06","68,1","8,91","17,8","0,20","0,05","3,28","0,11","0,41","0,82"
"1,79","1,75","1,35","0,01","9,51","18,0","20,2","0,14","6,94",144,"33,5","0,68","2,23","54,7","5,23","21,1","0,41","Arroz com lentilha, c/ arroz polido, c/ sal",138,"5,21","0,03","0,93",349,"0,06","67,8","8,87","17,7","0,19","0,05","3,27","0,11","0,41","0,82"
"0,57","1,34","0,47","0,02","11,6","21,0","23,3","0,13","0,00",122,"18,5","0,51","2,28","36,3","2,52","21,6","0,43","Arroz com legumes, c/ arroz polido, s/ sal",101,"2,72","0,01","1,26","70,4","0,02","70,9","35,2","70,3","0,00","0,02","4,30","0,00","0,45","0,54"
"0,56","1,33","0,47","0,02","11,4","20,2","22,3","0,12","0,00",118,"17,4","0,44","2,11","33,6","2,50","21,2","0,43","Arroz com legumes, c/ arroz polido, c/ sal","99,9","2,47","0,01","1,16",239,"0,02","71,7","36,7","73,3","0,00","0,03","4,07","0,00","0,44","0,49"
"0,74","1,46","0,53","0,02","9,84","16,8","19,6","0,05","0,00",109,"19,6","0,38","2,81","48,5","2,79","20,9","0,43","Arroz com legumes, c/ arroz integral, s/ sal",108,"2,75","0,01","0,75","69,8","0,06","74,3","35,2","70,3","0,00","0,07","4,30","0,00","0,54","0,39"
"0,73","1,45","0,53","0,02","9,65","16,0","18,7","0,04","0,00",104,"18,5","0,31","2,64","45,7","2,77","20,4","0,43","Arroz com legumes, c/ arroz integral, c/ sal",106,"2,51","0,01","0,66",239,"0,06","75,0","36,7","73,3","0,00","0,07","4,07","0,00","0,53","0,35"
"0,53","1,30","0,43","0,01","5,14","22,1","24,0","0,12","0,00",125,"2,72","1,55","1,90","20,5","2,45","18,6",tr,"Arroz com jambu, c/ arroz polido, s/ sal","39,1","2,58",tr,"1,26","1,29",tr,"70,4","0,00","0,00","0,00","0,02","0,79","0,00","0,30","0,40"
"0,53","1,30","0,43","0,01","5,25","22,1","24,0","0,12","0,00",125,"2,72","1,52","1,88","20,5","2,45","18,6",tr,"Arroz com jambu, c/ arroz polido, c/ sal","39,1","2,56",tr,"1,26",189,tr,"70,0","0,00","0,00","0,00","0,02","0,79","0,00","0,30","0,40"
"0,74","1,45","0,51","0,01","2,89","16,8","19,4","0,02","0,00",108,"4,08","1,39","2,56","35,7","2,79","17,7",tr,"Arroz com jambu, c/ arroz integral, s/ sal","47,4","2,62",tr,"0,63","0,51",tr,"74,6","0,00","0,00","0,00","0,07","0,79","0,00","0,42","0,22"
"0,74","1,45","0,51","0,01","3,01","16,8","19,4","0,02","0,00",108,"4,08","1,36","2,54","35,7","2,78","17,7",tr,"Arroz com jambu, c/ arroz integral, c/ sal","47,5","2,61",tr,"0,63",188,tr,"74,2","0,00","0,00","0,00","0,07","0,79","0,00","0,42","0,22"
"0,50","1,17","0,48","0,01","22,7","14,7","15,8","0,49","68,1",118,"13,1","5,69","1,16","77,5","2,45","24,2","0,38","Arroz com frutos do mar, c/ arroz polido, s/ sal",102,"8,70","0,03","0,93",164,"0,04","72,1","6,71","5,96","1,62","0,02","2,72","0,01","0,48","1,05"
"0,51","1,21","0,50","0,01","23,8","12,9","13,8","0,50","83,7",116,"11,9","6,11","0,94","78,7","2,56","25,0","0,48","Arroz com frutos do mar, c/ arroz polido, c/ sal",110,"9,81","0,04","0,80",364,"0,05","72,3","7,04","6,05","1,75","0,02","2,67","0,01","0,50","1,11"
"0,63","1,27","0,52","0,01","21,3","11,4","13,0","0,42","68,1",108,"13,9","5,59","1,56","86,8","2,65","23,6","0,38","Arroz com frutos do mar, c/ arroz integral, s/ sal",108,"8,72","0,03","0,54",163,"0,08","74,7","6,71","5,96","1,62","0,05","2,72","0,01","0,56","0,94"
"0,63","1,27","0,53","0,01","21,0","10,8","12,2","0,41","77,3",107,"12,0","5,57","1,37","83,7","2,68","24,3","0,44","Arroz com frutos do mar, c/ arroz integral, c/ sal","83,7","9,27","0,03","0,47",348,"0,08","74,4","6,50","5,58","1,62","0,05","2,50","0,01","0,55","0,96"
"1,01","1,70","0,86","0,01","9,57","18,2","19,6","0,12","26,6",139,"5,74","0,46","1,38","60,1","3,84","19,6","1,64","Arroz com frango, c/ arroz polido, s/ sal",122,"7,20","0,00","1,10","45,3","0,03","68,8","36,5","73,0","0,03","0,03","2,69","0,01","0,44","0,94"
"1,00","1,69","0,86","0,01","9,53","18,1","19,5","0,12","26,5",138,"5,71","0,46","1,38","59,8","3,82","19,5","1,63","Arroz com frango, c/ arroz polido, c/ sal",122,"7,17","0,00","1,10","45,1","0,03","68,9","36,3","72,7","0,03","0,03","2,67","0,01","0,44","0,94"
"1,16","1,76","0,91","0,01","6,96","13,7","15,4","0,03","26,6",123,"6,31","0,30","1,78","70,8","4,01","18,4","1,77","Arroz com frango, c/ arroz integral, s/ sal",119,"7,16","0,00","0,55","44,0","0,08","72,8","29,9","59,8","0,03","0,07","2,25","0,01","0,56","0,78"
"1,15","1,76","0,90","0,01","6,93","13,6","15,4","0,03","26,5",122,"6,28","0,30","1,77","70,4","3,99","18,3","1,76","Arroz com frango, c/ arroz integral, c/ sal",119,"7,13","0,00","0,55","43,8","0,07","72,9","29,8","59,5","0,03","0,07","2,24","0,01","0,55","0,77"
"1,36","1,49","1,16","0,05","13,1","12,2","14,4","0,14","39,6",190,"5,08","0,46","2,18","94,6","9,99","20,4","5,46","Arroz com frango e pequi, c/ arroz polido, s/ sal",139,"11,8","0,06","0,70","21,3","0,07","63,1","0,00","0,00","0,07","0,03","2,96","0,00","0,30","0,82"
"1,36","1,49","1,16","0,05","12,2","12,2","14,4","0,14","39,6",190,"4,53","0,44","2,16","94,3","9,99","20,3","5,46","Arroz com frango e pequi, c/ arroz polido, c/ sal",135,"11,8","0,06","0,69",209,"0,06","62,7","0,00","0,00","0,07","0,02","2,80","0,00","0,30","0,81"
"1,47","1,57","1,20","0,05","11,9","9,39","11,9","0,09","39,6",182,"5,80","0,37","2,53",102,"10,2","19,9","5,46","Arroz com frango e pequi, c/ arroz integral, s/ sal",143,"11,9","0,06","0,36","20,9","0,09","65,4","0,00","0,00","0,07","0,05","2,96","0,00","0,37","0,72"
"1,47","1,57","1,20","0,05","11,0","9,37","11,9","0,09","39,6",181,"5,25","0,36","2,52",102,"10,2","19,8","5,46","Arroz com frango e pequi, c/ arroz integral, c/ sal",139,"11,9","0,06","0,35",208,"0,09","65,0","0,00","0,00","0,07","0,05","2,80","0,00","0,37","0,72"
"0,51","1,26","0,44","0,01","19,2","22,0","23,3","0,14","0,00",121,"25,3","0,31","1,34","20,3","2,36","25,8","0,00","Arroz com espinafre, c/ arroz polido, s/ sal (arroz polido, espinafre, c/ oleo de soja, s/ sal)","53,2","2,21",tr,"1,29","4,25","0,02","71,7","25,2","50,5","0,00","0,01","0,23","0,00","0,53","0,43"
"0,51","1,25","0,44","0,01","19,0","22,0","23,3","0,14","0,00",121,"24,8","0,31","1,33","20,2","2,36","25,6","0,00","Arroz com espinafre, c/ arroz polido, c/ sal (arroz polido, espinafre, c/ oleo de soja, c/ sal)","52,4","2,20",tr,"1,29",191,"0,01","71,3","24,7","49,4","0,00","0,01","0,23","0,00","0,52","0,43"
"0,73","1,41","0,52","0,01","16,9","16,4","18,5","0,03","0,00",103,"26,7","0,14","2,03","36,3","2,71","24,7","0,00","Arroz com espinafre, c/ arroz integral, s/ sal (arroz , alho espinafre, c/ oleo de soja, s/ sal)","62,0","2,26",tr,"0,62","3,42","0,07","76,2","25,2","50,5","0,00","0,06","0,23","0,00","0,66","0,24"
"0,73","1,41","0,52","0,01","16,7","16,4","18,4","0,03","0,00",103,"26,2","0,14","2,02","36,1","2,71","24,6","0,00","Arroz com espinafre, c/ arroz integral, c/ sal (arroz integral, espinafre, c/ oleo de soja, c/ sal)","61,2","2,25",tr,"0,62",191,"0,07","75,7","24,7","49,4","0,00","0,06","0,23","0,00","0,65","0,24"
"0,51","1,29","0,44","0,01","64,0","20,5","22,2","0,13","0,00",118,"5,69","0,39","1,75","29,5","2,45","27,8","0,34","Arroz com couve, c/ arroz polido, s/ sal",183,"2,51","0,05","1,24","3,89","0,03","72,2","58,3",116,"0,00","0,03","9,72","0,00","0,56","0,43"
"0,51","1,29","0,44","0,01","62,9","20,5","22,2","0,13","0,00",117,"5,64","0,39","1,74","29,3","2,45","27,6","0,34","Arroz com couve, c/ arroz polido, c/ sal",180,"2,49","0,05","1,24","3,84","0,03","72,3","57,2",114,"0,00","0,03","9,55","0,00","0,55","0,43"
"0,71","1,43","0,52","0,01","61,9","15,6","17,9","0,03","0,00",102,"6,97","0,24","2,37","43,7","2,76","26,9","0,34","Arroz com couve, c/ arroz integral, s/ sal",191,"2,55","0,05","0,64","3,16","0,09","76,2","58,3",116,"0,00","0,08","9,72","0,00","0,67","0,26"
"0,71","1,43","0,52","0,01","60,9","15,6","17,9","0,03","0,00",102,"6,91","0,24","2,35","43,5","2,76","26,7","0,34","Arroz com couve, c/ arroz integral, c/ sal",188,"2,54","0,05","0,64",190,"0,08","75,7","57,2",114,"0,00","0,08","9,55","0,00","0,66","0,26"
"0,79","1,32","5,75","0,01","6,60","21,0","22,6","0,16","0,00",180,"7,08","0,43","1,57","30,3","9,28","24,4",tr,"Arroz com coco, c/ arroz polido, s/ sal","89,8","2,36",tr,"2,27","9,39","0,00","65,3","0,00","0,00","0,00","0,02","1,01","0,00","0,32","0,58"
"0,79","1,32","5,75","0,01","6,57","20,9","22,5","0,16","0,00",180,"7,07","0,43","1,56","30,2","9,27","24,3",tr,"Arroz com coco, c/ arroz polido, c/ sal","89,7","2,35",tr,"2,26","9,38","0,00","65,5","0,00","0,00","0,00","0,02","1,01","0,00","0,32","0,58"
"0,39","0,97","0,35","0,01","11,3","22,4","24,3","0,14","0,00",119,"5,82","0,40","1,94","26,8","1,86","21,5",tr,"Arroz com cenoura, c/ oleo, cebola e alho, s/ sal",118,"2,21",tr,"1,41","4,70",tr,"71,1",104,209,"0,00","0,03","1,92","0,00","0,40","0,48"
"0,36","0,90","0,33","0,01","11,4","22,3","24,2","0,14","0,00",118,"5,76","0,40","1,93","26,5","1,75","21,4",tr,"Arroz com cenoura, c/ oleo, cebola e alho, c/ sal",116,"2,19",tr,"1,41",192,tr,"70,8",104,209,"0,00","0,03","1,88","0,00","0,38","0,48"
"1,01","0,78","1,01","0,05","8,05","19,3","20,3","0,13","14,0",145,"5,62","0,89","1,00","62,3","3,13","20,6","0,53","Arroz com carne bovina, c/ arroz polido, s/ sal",104,"9,46",tr,"1,13","29,0","0,01","66,6","3,27","3,55","0,34","0,02","1,79","0,07","0,47","1,98"
"0,99","0,72","0,99","0,05","8,08","19,3","20,3","0,13","14,0",144,"5,56","0,89","0,99","62,0","3,02","20,5","0,53","Arroz com carne bovina, c/ arroz polido, c/ sal",103,"9,45",tr,"1,13",216,"0,01","66,3","3,27","3,55","0,34","0,02","1,75","0,07","0,46","1,98"
"0,51","1,32","0,44","0,04","19,1","20,5","22,3","0,14","0,00",118,"23,3","0,40","1,85","28,7","2,46","21,5","0,00","Arroz com brocolis, c/ arroz polido, s/ sal","87,0","2,52","0,01","1,26","1,81","0,02","72,3","46,3","92,6","0,00","0,02","12,5","0,00","0,76","0,44"
"0,51","1,32","0,44","0,04","18,8","20,5","22,3","0,14","0,00",118,"23,0","0,40","1,83","28,5","2,46","21,4","0,00","Arroz com brocolis, c/ arroz polido, c/ sal","86,1","2,50","0,01","1,26","1,79","0,02","72,3","45,4","90,8","0,00","0,02","12,3","0,00","0,75","0,44"
"0,71","1,46","0,52","0,04","17,0","15,6","18,0","0,04","0,00",102,"24,6","0,25","2,46","42,8","2,77","20,6","0,00","Arroz com brocolis, c/ arroz integral, s/ sal","94,8","2,56","0,01","0,67","1,08","0,07","76,2","46,3","92,6","0,00","0,07","12,5","0,00","0,88","0,27"
"0,71","1,46","0,52","0,04","16,7","15,6","18,0","0,04","0,00",102,"24,2","0,25","2,45","42,7","2,77","20,5","0,00","Arroz com brocolis, c/ arroz integral, c/ sal","93,8","2,55","0,01","0,67","1,06","0,07","76,3","45,4","90,8","0,00","0,07","12,3","0,00","0,87","0,27"
"0,51","1,26","0,43","0,01","10,8","23,1","24,3","0,13","0,00",124,"7,10","0,50","1,13","18,7","2,35","21,3","0,05","Arroz com alho poro, c/ arroz polido, s/ sal","33,1","1,97",tr,"1,39","3,49","0,01","71,0","9,43","9,43","0,00","0,03","0,97","0,00","0,17","0,40"
"0,51","1,26","0,43","0,01","10,7","23,1","24,2","0,13","0,00",124,"6,99","0,49","1,13","18,6","2,35","21,2","0,05","Arroz com alho poro, c/ arroz polido, c/ sal","32,7","1,97",tr,"1,39",191,"0,01","70,6","9,24","9,24","0,00","0,03","0,95","0,00","0,16","0,40"
"0,73","1,41","0,52","0,01","8,41","17,6","19,4","0,03","0,00",106,"8,54","0,33","1,82","34,7","2,70","20,3","0,05","Arroz com alho poro, c/ arroz integral, s/ sal","41,9","2,02",tr,"0,72","2,66","0,06","75,5","9,43","9,43","0,00","0,08","0,97","0,00","0,29","0,21"
"0,32","0,79","0,32","0,01","8,42","21,1","22,5","0,12","0,00",109,"8,72","0,29","1,35","22,8","1,55","21,7",tr,"Arroz com abobrinha, c/ oleo, cebola e alho, s/ sal","57,3","2,06",tr,"1,24","1,40","0,02","73,6","9,54","19,1","0,00","0,03","0,95","0,00","0,20","0,44"
"0,29","0,72","0,30","0,01","8,45","21,1","22,4","0,12","0,00",108,"8,66","0,29","1,34","22,5","1,44","21,6",tr,"Arroz com abobrinha, c/ oleo, cebola e alho, c/ sal","55,9","2,05",tr,"1,24",189,"0,02","73,3","9,54","19,1","0,00","0,02","0,91","0,00","0,18","0,44"
"1,21","1,81","0,96","0,01","13,2","19,9","21,3","0,13","40,8",141,"7,91","0,55","1,37","69,0","4,47","20,9","0,45","Arroz chop suey, c/ arroz polido, s/ sal",122,"4,52","0,06","3,41",135,"0,07","68,9","57,7","98,3","0,12","0,03","1,76","0,24","0,57","0,71"
"4,57","10,5","3,11","0,09","19,1","9,40","11,5","0,13","40,6",231,"14,4","0,56","2,16","100,0","18,9","15,7","0,62","Arroz chop suey, c/ arroz polido, c/ molho shoyu",285,"4,89","0,06","2,67",152,"0,12","63,5","49,0","80,9","0,12","0,16","6,67","0,24","2,51","0,59"
"1,37","1,86","1,01","0,01","10,2","15,0","16,7","0,04","40,8",123,"8,41","0,37","1,78","80,1","4,63","19,5","0,62","Arroz chop suey, c/ arroz integral, s/ sal",116,"4,46","0,06","2,82",133,"0,12","73,4","49,2","81,2","0,12","0,07","1,19","0,24","0,69","0,53"
"1,36","1,86","1,00","0,01","10,2","15,0","16,8","0,04","40,5",124,"8,39","0,37","1,81","79,9","4,67","19,5","0,62","Arroz chop suey, c/ arroz integral, c/ molho shoyu",116,"4,55","0,06","2,80",158,"0,12","73,1","48,9","80,8","0,12","0,07","1,18","0,24","0,69","0,52"
"3,00","0,20","3,20","0,21","13,3","10,1","11,6","0,08","36,1",151,"13,0","0,95","1,50","47,6","7,12","9,29","1,60","Arroz carreteiro, s/ sal","87,2","10,8",tr,NA,1621,"0,03","68,0","4,93","9,86","0,00","0,07","1,08","0,00","0,31","2,67"
