acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"5,01","13,0","3,45",NA,"6,00","9,23","9,23","0,02","16,0",238,"4,00","0,14","0,00","15,0","22,2","2,00","0,01","Maionese, light","31,0","0,37","0,00","2,60",827,"0,01","66,1","8,00",NA,"0,00","0,00","0,00","0,00","2,19","0,07"
"18,2","41,1","7,51","0,75","3,75","1,62","1,92","0,08","0,00",623,"4,56","0,37","0,30","35,1","67,9","16,5",tr,"Maionese vegana, c/ sal","48,6","1,33",tr,"0,02","99,9","0,01","28,5","0,07","0,13","0,00",tr,"1,43","0,00","0,01","0,32"
"0,08","0,08","0,08","0,00","20,9","27,9","29,7","0,02","0,00",120,"11,3","0,12","1,83","22,8","0,25","26,9","0,01","Madioca (aipim, macaxeira), s/ casca, cozida, salsa, s/ oleo, c/ pimenta-do-reino, s/ sal",105,"0,68","0,00","0,50","0,95","0,06","68,9","7,32","14,5","0,00","0,03","11,2","0,00","0,17","0,19"
"25,3","6,50","7,10","0,00","66,5","0,50","13,9","0,35","0,00",403,NA,"0,81","13,4","43,9","40,7","66,1",tr,"Macauba, in natura",305,"2,08","0,11",NA,"0,65","0,11","41,5",510,1020,"0,00","0,03","13,4","0,00",NA,"0,66"
"1,96","2,09","2,42","0,11","69,6","20,4","21,5","0,06","15,8",178,"46,9","0,39","1,13","95,9","7,83","6,62","1,20","Macarronese, c/ sal",115,"6,04","0,03","3,62",411,"0,09","63,0","9,84","10,6","0,24","0,01","0,77","0,04","0,75","0,75"
"0,31","0,63","0,44","0,08","18,4","74,7","77,3","0,14","8,78",359,272,"0,90","2,61",109,"1,64","13,8","3,97","Macarrao, trigo, seco, cru (media de diferentes marcas)",140,"10,2","0,04","5,10","11,0","0,14","10,4",tr,tr,"0,00","0,01",tr,"0,00","0,12","0,96"
"0,11","0,22","0,16","0,03","6,11","26,1","27,0","0,05","3,07",126,"66,9","0,24","0,91","36,3","0,57",tr,"1,25","Macarrao, trigo, seco, cozido, drenado, s/ sal (media de diferentes marcas)","29,5","3,56","0,01","1,78","1,92","0,04","68,6","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,33"
"0,15","0,42","0,30","0,10","17,3","75,0","77,9","0,15","0,00",358,272,"4,20","2,93","99,8","1,30","27,7","3,57","Macarrao, trigo, s/ ovos, seco, cru",147,"10,00","0,02","5,10","7,17","0,18","10,2","0,00","0,00","0,00",tr,tr,"0,00","0,09","0,78"
"0,05","0,15","0,10","0,03","5,75","26,3","27,3","0,05","0,00",125,"66,9","1,10","1,02","33,2","0,46",tr,"1,12","Macarrao, trigo, s/ ovos, cozido, drenado, s/ sal","30,9","3,50","0,01","1,78","1,25","0,05","68,6","0,00","0,00","0,00",tr,tr,"0,00","0,03","0,27"
"0,20","0,62","0,47","0,00","25,5","65,4","75,4","0,22","0,00",352,"69,0","1,69","10,0",147,"1,61","40,8","8,69","Macarrao, trigo, integral, cru",216,"14,0","0,22","7,52","10,6","0,41","8,21","0,00","0,00","0,00","0,28",tr,"0,00","0,25","1,15"
